nid,"	 ts","	 hum","	 light","	 mode","	 noise","	 press","	 steps","	 temp","	 mac","	 lat","	 lon",ac
200001,1439806424,22,19226,1,88,100389,0,0,NaN,1.3298017,103.8062975,NaN
200001,1439806434,20,19333,1,92,100370,18,18,NaN,1.3298017,103.8062975,NaN
200001,1439806637,20,19308,2,98,100387,42,42,NaN,1.3298017,103.8062975,NaN
200001,1439806647,20,19320,1,89,100378,54,54,NaN,1.3298017,103.8062975,NaN
200001,1439806657,18,19332,1,82,100334,75,75,NaN,1.3298017,103.8062975,NaN
200001,1439806667,17,19178,2,87,100349,91,91,NaN,1.3298017,103.8062975,NaN
200001,1439806677,19,19173,1,91,100301,107,107,NaN,1.3298017,103.8062975,NaN
200001,1439806687,19,19323,3,93,100338,123,123,NaN,1.3298017,103.8062975,NaN
200001,1439806934,20,19171,1,86,100332,139,139,NaN,1.3298017,103.8062975,NaN
200001,1439807282,19,19321,3,89,100365,153,153,NaN,1.3298017,103.8062975,NaN
200001,1439807577,21,19145,2,81,100345,181,181,NaN,1.3298017,103.8062975,NaN
200001,1439807890,21,19083,3,71,100353,203,203,NaN,1.3298017,103.8062975,NaN
200001,1439807900,22,19128,1,71,100403,226,226,NaN,1.3298017,103.8062975,NaN
200001,1439808242,22,18989,0,69,100443,236,236,NaN,1.3298017,103.8062975,NaN
200001,1439808252,24,19126,1,79,100429,261,261,NaN,1.3298017,103.8062975,NaN
200001,1439808369,25,19111,1,89,100446,286,286,NaN,1.3298017,103.8062975,NaN
200001,1439808379,26,18926,2,97,100494,302,302,NaN,1.3298017,103.8062975,NaN
200001,1439808389,25,18785,0,92,100484,315,315,NaN,1.3298017,103.8062975,NaN
200001,1439808452,27,18701,0,91,100491,315,315,NaN,1.3298017,103.8062975,NaN
200001,1439808462,28,18686,2,99,100462,323,323,NaN,1.3298017,103.8062975,NaN
200001,1439808592,27,18798,1,90,100476,325,325,NaN,1.3298017,103.8062975,NaN
200001,1439808919,28,18834,2,96,100470,343,343,NaN,1.3298017,103.8062975,NaN
200001,1439808929,28,18641,0,97,100436,357,357,NaN,1.3298017,103.8062975,NaN
200001,1439808939,29,18520,3,88,100437,386,386,NaN,1.3298017,103.8062975,NaN
200001,1439808949,29,18335,0,80,100441,402,402,NaN,1.3298017,103.8062975,NaN
200001,1439808959,28,18329,2,80,100435,426,426,NaN,1.3298017,103.8062975,NaN
200001,1439808969,27,18434,2,80,100479,456,456,NaN,1.3298017,103.8062975,NaN
200001,1439809190,28,18248,3,83,100440,458,458,NaN,1.3298017,103.8062975,NaN
200001,1439809292,29,18261,0,83,100435,482,482,NaN,1.3298017,103.8062975,NaN
200001,1439809302,31,18259,1,83,100386,505,505,NaN,1.3298017,103.8062975,NaN
200001,1439809312,29,18333,0,92,100403,522,522,NaN,1.3298017,103.8062975,NaN
200001,1439809322,28,18147,0,91,100395,543,543,NaN,1.3298017,103.8062975,NaN
200001,1439809614,30,18248,2,90,100380,561,561,NaN,1.3298017,103.8062975,NaN
200001,1439809844,29,18226,3,93,100389,565,565,NaN,1.3298017,103.8062975,NaN
200001,1439810104,31,18287,2,88,100356,592,592,NaN,1.3298017,103.8062975,NaN
200001,1439810137,32,18360,0,97,100356,598,598,NaN,1.3298017,103.8062975,NaN
200001,1439810147,34,18325,3,104,100360,628,628,NaN,1.3298017,103.8062975,NaN
200001,1439810524,32,18224,0,108,100380,656,656,NaN,1.3298017,103.8062975,NaN
200001,1439810583,32,18415,0,111,100395,662,662,NaN,1.3298017,103.8062975,NaN
200001,1439810789,33,18609,1,120,100405,682,682,NaN,1.3298017,103.8062975,NaN
200001,1439810927,32,18616,0,127,100434,688,688,NaN,1.3298017,103.8062975,NaN
200001,1439811080,33,18429,2,117,100432,711,711,NaN,1.3298017,103.8062975,NaN
200001,1439811522,33,18490,2,115,100408,713,713,NaN,1.3298017,103.8062975,NaN
200001,1439811532,34,18475,0,113,100359,715,715,NaN,1.3298017,103.8062975,NaN
200001,1439811542,33,18422,2,121,100363,720,720,NaN,1.3298017,103.8062975,NaN
200001,1439812096,34,18293,3,112,100410,733,733,NaN,1.3298017,103.8062975,NaN
200001,1439812106,35,18223,0,107,100400,746,746,NaN,1.3298017,103.8062975,NaN
200001,1439812116,36,18279,3,106,100401,773,773,NaN,1.3298017,103.8062975,NaN
200001,1439812126,36,18213,2,108,100421,791,791,NaN,1.3298017,103.8062975,NaN
200001,1439812136,36,18240,3,102,100393,820,820,NaN,1.3298017,103.8062975,NaN
200001,1439812599,36,18116,0,92,100385,829,829,NaN,1.3298017,103.8062975,NaN
200001,1439812795,37,18100,2,87,100385,844,844,NaN,1.3298017,103.8062975,NaN
200001,1439812805,36,18098,3,77,100377,871,871,NaN,1.3298017,103.8062975,NaN
200001,1439812815,35,17930,3,87,100356,879,879,NaN,1.3298017,103.8062975,NaN
200001,1439812825,34,18032,3,87,100361,897,897,NaN,1.3298017,103.8062975,NaN
200001,1439812835,35,18228,0,94,100384,918,918,NaN,1.3298017,103.8062975,NaN
200001,1439812845,34,18370,0,92,100344,943,943,NaN,1.3298017,103.8062975,NaN
200001,1439813346,33,18448,0,90,100364,966,966,NaN,1.3298017,103.8062975,NaN
200001,1439813356,33,18310,2,95,100328,994,994,NaN,1.3298017,103.8062975,NaN
